market_cap,circulating_market_cap,anon_1,anon_2,net_profit_to_total_revenue,inc_revenue_year_on_year,development_expenditure,pe_ratio,pb_ratio,inc_net_profit_year_on_year,dividend_payable,roe,roa,anon_3,gross_profit_margin,anon_4,pcf_ratio,ps_ratio,monthreturn
594.7186,525.6705,35949641728.0,1.06279034,39.99,24.7,0.0,10.1195,1.6581,17.2,0.0,5.01,0.3,1.00079584,0.0,0.00556062,7.0201,3.6646,1.169945416201881
3130.0525,2504.042,288723828736.0,1.07278858,34.28,19.52,0.0,6.5882,1.2247,4.64,12000000.0,4.1,0.27,0.99269973,0.0,0.00365753,-68.5964,2.4345,1.0983313219187218
1319.6682,961.4752,106008936448.0,1.06181009,32.28,5.01,0.0,7.1741,1.3005,11.42,0.0,4.0,0.23,0.99765349,0.0,0.00522162,33.4941,2.3778,1.1140350278956483
3484.6882,2778.8499,261778046976.0,1.06971492,37.65,15.37,0.0,7.7015,1.3715,4.93,0.0,5.41,0.34,0.99765136,0.0,0.00850163,13.0171,2.4843,1.0303974398627689
4327.7256,3539.927,332114952192.0,1.07256442,34.1,24.16,0.0,7.4377,1.3062,15.61,0.0,5.33,0.36,0.99581431,0.0,0.00580471,5.9827,2.4626,1.1363636594704618
496.4056,496.4056,34298593280.0,1.05461585,35.35,47.86,0.0,8.3258,1.4623,25.05,0.0,5.34,0.29,0.99108322,0.0,0.00623985,4.7683,2.8156,1.2212920241028709
3410.3684,2896.1514,276360855552.0,1.0652306,43.56,19.6,0.0,7.0223,1.3114,10.81,0.0,5.57,0.33,0.99593919,0.0,0.00230887,-4.3443,2.6132,1.0681564196994084
1382.3291,1382.3291,100499980288.0,1.07040969,47.05,20.31,0.0,8.5928,1.3789,10.45,0.0,5.08,0.33,1.00286394,0.0,0.00390088,1.7148,3.5745,1.1084797390143926
11887.4648,10762.4238,1125519458304.0,1.0716389,38.95,2.46,0.0,6.5988,1.1389,1.49,0.0,5.02,0.33,0.98340455,0.0,0.00905044,11.8913,2.2677,1.0573770279429135
4916.1924,2165.3394,492839108608.0,1.08034023,38.56,10.46,0.0,7.4341,1.0035,1.57,0.0,3.95,0.3,0.99435213,0.0,0.00875432,4.3305,2.7,1.321752338252669
