,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
591,601888.SH,20210108,311.0,311.4,287.0,291.0,311.0,-20.0,-6.4309,196177.12,5823692.598
592,601888.SH,20210107,293.35,311.0,290.0,311.0,288.0,23.0,7.9861,151153.16,4534780.266
593,601888.SH,20210106,290.0,293.83,284.02,288.0,293.02,-5.02,-1.7132,126380.99,3640459.354
594,601888.SH,20210105,290.0,299.69,289.0,293.02,292.25,0.77,0.2635,118713.65,3480973.443
595,601888.SH,20210104,282.0,300.62,281.75,292.25,282.45,9.8,3.4696,140347.48,4127327.801
596,601888.SH,20201231,270.02,285.8,267.52,282.45,263.12,19.33,7.3465,147881.81,4111681.198
597,601888.SH,20201230,253.1,266.05,253.1,263.12,255.15,7.97,3.1237,112464.24,2941588.678
598,601888.SH,20201229,256.0,259.0,248.2,255.15,257.6,-2.45,-0.9511,98367.43,2498594.693
599,601888.SH,20201228,263.88,264.9,253.91,257.6,259.0,-1.4,-0.5405,102642.0,2644445.262
600,601888.SH,20201225,250.0,261.87,246.0,259.0,252.2,6.8,2.6963,92793.88,2375891.757
601,601888.SH,20201224,253.0,262.49,249.57,252.2,246.88,5.32,2.1549,126032.14,3222722.179
602,601888.SH,20201223,237.0,255.32,237.0,246.88,236.95,9.93,4.1908,170868.27,4243747.876
603,601888.SH,20201222,229.13,245.17,226.5,236.95,229.13,7.82,3.4129,161250.32,3806786.873
604,601888.SH,20201221,218.0,229.9,217.0,229.13,217.25,11.88,5.4684,121201.62,2735604.994
605,601888.SH,20201218,222.78,224.78,216.85,217.25,225.49,-8.24,-3.6543,114644.56,2510594.483
606,601888.SH,20201217,220.5,225.88,219.0,225.49,220.36,5.13,2.328,99744.41,2225424.381
607,601888.SH,20201216,220.5,223.3,217.2,220.36,218.38,1.98,0.9067,77984.2,1719934.554
608,601888.SH,20201215,214.06,219.7,212.55,218.38,213.6,4.78,2.2378,122133.98,2655271.358
609,601888.SH,20201214,205.81,216.0,203.01,213.6,206.0,7.6,3.6893,153766.28,3266180.639
610,601888.SH,20201211,210.88,210.88,202.67,206.0,207.8,-1.8,-0.8662,95330.17,1970732.703
611,601888.SH,20201210,204.24,209.37,201.12,207.8,202.33,5.47,2.7035,91149.46,1887302.313
612,601888.SH,20201209,207.83,209.35,202.22,202.33,208.03,-5.7,-2.74,73432.58,1508165.187
613,601888.SH,20201208,209.63,210.3,204.1,208.03,207.75,0.28,0.1348,84924.11,1761170.64
614,601888.SH,20201207,197.0,208.98,195.5,207.75,196.43,11.32,5.7629,178176.11,3645248.607
615,601888.SH,20201204,194.0,197.6,192.3,196.43,194.93,1.5,0.7695,73113.64,1429941.155
616,601888.SH,20201203,194.08,197.28,194.01,194.93,195.52,-0.59,-0.3018,57555.64,1126580.618
617,601888.SH,20201202,197.42,199.5,194.03,195.52,196.0,-0.48,-0.2449,60430.92,1187615.985
618,601888.SH,20201201,194.0,198.38,193.2,196.0,193.2,2.8,1.4493,87067.46,1711937.213
619,601888.SH,20201130,190.51,197.26,190.51,193.2,193.2,0.0,0.0,99384.51,1934284.196
620,601888.SH,20201127,190.33,193.88,188.2,193.2,191.25,1.95,1.0196,60681.29,1162208.528
621,601888.SH,20201126,188.51,197.8,188.51,191.25,189.0,2.25,1.1905,95083.33,1829455.143
622,601888.SH,20201125,194.93,195.45,189.0,189.0,193.39,-4.39,-2.27,79478.01,1525829.253
623,601888.SH,20201124,188.94,196.48,185.39,193.39,187.89,5.5,2.9272,136134.36,2619219.138
624,601888.SH,20201123,185.0,190.18,181.5,187.89,185.0,2.89,1.5622,124082.74,2317678.416
625,601888.SH,20201120,185.31,187.78,182.26,185.0,183.31,1.69,0.9219,89638.83,1665324.574
626,601888.SH,20201119,175.72,184.58,174.0,183.31,175.25,8.06,4.5991,159122.26,2890863.457
627,601888.SH,20201118,181.61,184.1,172.77,175.25,181.0,-5.75,-3.1768,180681.53,3192302.518
628,601888.SH,20201117,186.46,186.96,179.79,181.0,186.45,-5.45,-2.923,133218.5,2437431.884
629,601888.SH,20201116,189.0,189.9,184.1,186.45,192.5,-6.05,-3.1429,164874.77,3067825.647
630,601888.SH,20201113,195.2,195.2,186.88,192.5,196.15,-3.65,-1.8608,126216.26,2412886.369
631,601888.SH,20201112,185.5,196.8,183.54,196.15,184.6,11.55,6.2568,215348.49,4117884.796
632,601888.SH,20201111,188.0,189.79,183.75,184.6,185.27,-0.67,-0.3616,133428.6,2490642.532
633,601888.SH,20201110,189.53,193.52,183.5,185.27,199.5,-14.23,-7.1328,306633.79,5705313.086
634,601888.SH,20201109,197.2,199.6,193.64,199.5,196.32,3.18,1.6198,106987.14,2111615.999
635,601888.SH,20201106,200.0,201.5,192.83,196.32,200.1,-3.78,-1.8891,119429.86,2338144.778
636,601888.SH,20201105,205.0,206.83,198.51,200.1,202.43,-2.33,-1.151,125422.1,2521465.398
637,601888.SH,20201104,197.42,203.8,197.42,202.43,197.76,4.67,2.3614,104411.75,2096993.69
638,601888.SH,20201103,196.34,199.77,193.03,197.76,194.4,3.36,1.7284,107505.44,2122463.286
639,601888.SH,20201102,198.22,204.18,192.22,194.4,199.4,-5.0,-2.5075,149614.67,2928894.558
640,601888.SH,20201030,203.03,205.0,198.61,199.4,200.43,-1.03,-0.5139,103128.99,2087217.528
641,601888.SH,20201029,196.0,203.5,194.6,200.43,198.41,2.02,1.0181,126288.02,2528883.551
642,601888.SH,20201028,190.0,201.0,188.11,198.41,184.81,13.6,7.3589,180517.26,3524103.657
643,601888.SH,20201027,182.61,186.37,179.6,184.81,185.68,-0.87,-0.4685,118149.12,2167257.935
644,601888.SH,20201026,192.65,192.65,181.88,185.68,193.06,-7.38,-3.8226,107553.71,1994843.53
645,601888.SH,20201023,196.88,199.23,193.0,193.06,195.99,-2.93,-1.495,67457.82,1319756.863
646,601888.SH,20201022,194.0,196.78,186.8,195.99,195.6,0.39,0.1994,126108.37,2430034.013
647,601888.SH,20201021,205.0,205.0,194.02,195.6,200.02,-4.42,-2.2098,132667.31,2609191.352
648,601888.SH,20201020,200.1,203.05,198.47,200.02,200.1,-0.08,-0.04,71136.7,1431084.744
649,601888.SH,20201019,201.01,205.01,198.8,200.1,203.43,-3.33,-1.6369,99527.92,1997467.038
650,601888.SH,20201016,203.11,205.44,201.64,203.43,202.83,0.6,0.2958,69305.94,1411966.323
651,601888.SH,20201015,207.0,209.48,202.0,202.83,209.2,-6.37,-3.0449,140873.53,2867273.59
652,601888.SH,20201014,211.92,214.0,206.5,209.2,214.1,-4.9,-2.2887,137897.31,2887420.087
653,601888.SH,20201013,219.0,219.5,208.8,214.1,212.0,2.1,0.9906,140028.87,2982560.475
654,601888.SH,20201012,204.16,212.9,201.0,212.0,204.1,7.9,3.8707,177850.47,3695843.758
655,601888.SH,20201009,223.0,223.0,200.65,204.1,222.94,-18.84,-8.4507,325847.69,6645559.394
656,601888.SH,20200930,227.0,228.9,221.33,222.94,224.3,-1.36,-0.6063,88134.47,1980609.207
657,601888.SH,20200929,224.0,226.94,220.0,224.3,224.9,-0.6,-0.2668,93855.51,2098176.738
658,601888.SH,20200928,221.0,230.54,218.48,224.9,219.2,5.7,2.6004,157859.56,3573426.764
659,601888.SH,20200925,215.99,222.8,215.23,219.2,213.1,6.1,2.8625,110135.97,2412014.302
660,601888.SH,20200924,218.21,218.98,210.66,213.1,217.5,-4.4,-2.023,82875.92,1774859.971
661,601888.SH,20200923,207.05,219.33,205.28,217.5,206.71,10.79,5.2199,115840.58,2477849.594
662,601888.SH,20200922,210.0,211.18,203.58,206.71,209.01,-2.3,-1.1004,97385.32,2026799.383
663,601888.SH,20200921,217.0,219.9,208.0,209.01,216.0,-6.99,-3.2361,118043.92,2519154.289
664,601888.SH,20200918,212.0,216.0,209.9,216.0,212.13,3.87,1.8244,101196.71,2158433.828
665,601888.SH,20200917,219.8,219.8,208.58,212.13,217.26,-5.13,-2.3612,94407.49,2005546.456
666,601888.SH,20200916,223.22,224.36,214.51,217.26,222.58,-5.32,-2.3902,99619.56,2172382.776
667,601888.SH,20200915,214.31,224.78,212.13,222.58,214.3,8.28,3.8637,116346.49,2554501.136
668,601888.SH,20200914,208.0,217.5,207.54,214.3,207.21,7.09,3.4216,120299.55,2563845.317
669,601888.SH,20200911,204.0,208.8,203.0,207.21,205.6,1.61,0.7831,92989.56,1917802.031
670,601888.SH,20200910,200.99,208.0,200.45,205.6,197.18,8.42,4.2702,138661.47,2846403.296
671,601888.SH,20200909,200.3,203.1,195.8,197.18,204.2,-7.02,-3.4378,117433.45,2335200.579
672,601888.SH,20200908,211.28,212.75,201.0,204.2,209.28,-5.08,-2.4274,121581.33,2491327.274
673,601888.SH,20200907,217.0,221.5,207.02,209.28,219.8,-10.52,-4.7862,157603.0,3356102.991
674,601888.SH,20200904,219.0,221.1,210.0,219.8,224.3,-4.5,-2.0062,122713.77,2661042.505
675,601888.SH,20200903,221.5,229.6,221.5,224.3,223.0,1.3,0.583,114930.62,2597512.347
676,601888.SH,20200902,221.74,226.97,218.88,223.0,216.8,6.2,2.8598,150429.61,3367046.128
677,601888.SH,20200901,207.0,218.83,206.1,216.8,208.0,8.8,4.2308,143951.27,3098797.022
678,601888.SH,20200831,221.0,221.0,208.0,208.0,220.3,-12.3,-5.5833,210476.06,4458311.565
679,601888.SH,20200828,204.39,223.0,204.01,220.3,203.99,16.31,7.9955,192954.29,4165551.812
680,601888.SH,20200827,201.5,206.62,200.02,203.99,203.53,0.46,0.226,72924.97,1484456.568
681,601888.SH,20200826,208.2,212.8,202.2,203.53,210.31,-6.78,-3.2238,102372.88,2111143.794
682,601888.SH,20200825,207.79,216.8,203.59,210.31,203.52,6.79,3.3363,173897.85,3678078.746
683,601888.SH,20200824,201.0,205.58,196.8,203.52,199.38,4.14,2.0764,120361.4,2432392.31
684,601888.SH,20200821,196.0,206.6,194.66,199.38,194.0,5.38,2.7732,152848.54,3065809.531
685,601888.SH,20200820,191.0,204.96,191.0,194.0,200.0,-6.0,-3.0,211703.31,4131679.656
686,601888.SH,20200819,211.0,211.0,198.5,200.0,210.95,-10.95,-5.1908,161804.19,3265582.862
687,601888.SH,20200818,208.82,215.5,207.2,210.95,207.2,3.75,1.8098,134381.49,2833127.0
688,601888.SH,20200817,207.7,211.9,204.06,207.2,207.25,-0.05,-0.0241,124958.39,2589702.956
689,601888.SH,20200814,202.0,208.96,201.14,207.25,204.49,2.76,1.3497,113504.82,2334799.567
690,601888.SH,20200813,207.0,210.6,200.01,204.49,206.65,-2.16,-1.0452,139724.72,2851195.762
691,601888.SH,20200812,214.5,217.97,203.6,206.65,214.28,-7.63,-3.5608,203701.27,4217509.177
692,601888.SH,20200811,211.95,223.44,211.95,214.28,213.7,0.58,0.2714,139653.47,3051845.05
693,601888.SH,20200810,214.1,219.59,209.7,213.7,220.88,-7.18,-3.2506,161619.24,3455937.533
694,601888.SH,20200807,220.0,228.85,215.0,220.88,218.26,2.62,1.2004,178329.3,3967825.867
695,601888.SH,20200806,224.0,224.85,214.11,218.26,223.85,-5.59,-2.4972,183251.24,3998244.435
696,601888.SH,20200805,220.0,228.0,218.2,223.85,223.55,0.3,0.1342,138350.0,3091291.054
697,601888.SH,20200804,234.0,234.0,220.12,223.55,238.5,-14.95,-6.2683,250659.97,5649908.852
698,601888.SH,20200803,246.99,249.0,226.0,238.5,243.0,-4.5,-1.8519,262552.21,6159119.065
699,601888.SH,20200731,224.0,244.36,224.0,243.0,223.3,19.7,8.8222,235983.43,5551811.703
700,601888.SH,20200730,214.94,232.75,212.0,223.3,214.0,9.3,4.3458,227962.3,5099010.063
701,601888.SH,20200729,203.2,218.68,203.0,214.0,206.7,7.3,3.5317,190261.36,4064244.654
702,601888.SH,20200728,202.0,212.88,195.0,206.7,199.69,7.01,3.5104,229097.25,4660667.704
703,601888.SH,20200727,200.0,209.99,195.95,199.69,204.54,-4.85,-2.3712,246236.19,4975795.436
704,601888.SH,20200724,226.0,228.5,204.54,204.54,227.27,-22.73,-10.0013,413670.2,8694186.564
705,601888.SH,20200723,204.0,227.27,201.16,227.27,206.61,20.66,9.9995,341293.51,7430557.789
706,601888.SH,20200722,199.97,216.43,196.01,206.61,196.75,9.86,5.0114,328083.22,6834022.921
707,601888.SH,20200721,194.0,200.3,190.0,196.75,196.0,0.75,0.3827,174129.46,3410968.509
708,601888.SH,20200720,191.99,204.39,189.41,196.0,188.1,7.9,4.1999,281397.23,5521597.269
709,601888.SH,20200717,180.0,188.1,180.0,188.1,171.0,17.1,10.0,290002.03,5405770.232
710,601888.SH,20200716,190.01,191.8,171.0,171.0,189.81,-18.81,-9.9099,313731.97,5666417.039
711,601888.SH,20200715,190.1,195.68,186.51,190.53,190.0,0.53,0.2789,265084.7,5066537.046
